household_size,year,lowest_quintile,second_quintile,middle_quintile,fourth_quintile,highest_quintile,percentiles_81_90,percentiles_91_95,percentiles_96_99,top_1_percent
2,2003,0,31600,45700,62200,87800,87800,114700,149200,303400
2,2004,0,32600,46900,63700,90100,90100,118400,154400,330500
2,2005,0,33100,47500,64800,91700,91700,122100,162600,365200
2,2006,0,33500,48400,66100,94200,94200,125700,168100,386900
2,2007,0,35100,50000,68200,96600,96600,128900,173100,402500
2,2008,0,35800,50500,68400,96100,96100,126800,167000,361500
2,2009,0,35700,50200,67700,95200,95200,124700,161900,320100
2,2010,0,36000,50500,68000,95100,95100,125400,163400,337000
2,2011,0,35500,49700,67200,95400,95400,126600,166000,344700
2,2012,0,35100,49600,67300,95900,95900,128100,169600,374900
2,2013,0,35500,49700,67600,96000,96000,128500,169700,357000
2,2014,0,36600,50900,68700,98000,98000,130700,174400,373100
2,2015,0,38700,53300,71600,101300,101300,135400,179900,387500
3,1979,0,29100,41700,55000,74300,74300,93200,115500,208400
3,1980,0,28200,40500,53600,72400,72400,91200,112700,204900
3,1981,0,27900,40300,53700,72800,72800,91400,113700,207200
3,1982,0,27500,40100,54000,74500,74500,94400,116700,217300
3,1983,0,26700,39900,54500,75900,75900,96900,121600,230700
3,1984,0,28100,41800,57400,80200,80200,103300,130200,249300
3,1985,0,28100,41900,57700,80400,80400,103600,131100,258300
3,1986,0,28400,42800,59100,83300,83300,107600,138900,297300
3,1987,0,27800,43000,60300,84200,84200,107900,135900,268900
3,1988,0,28500,43800,61000,85500,85500,110300,139900,286800
3,1989,0,29300,44300,61700,86700,86700,112000,143000,292600
3,1990,0,30200,44900,61800,86100,86100,110900,141800,282500
3,1991,0,30500,44700,61500,85100,85100,109800,139300,275600
3,1992,0,30700,45500,62300,86400,86400,111700,143100,288100
3,1993,0,31300,45800,62700,87300,87300,112300,143100,278200
3,1994,0,31800,46300,63500,88200,88200,113900,145400,280500
3,1995,0,33200,48100,65200,90600,90600,117200,150900,300500
3,1996,0,33400,48400,66500,92600,92600,120700,155800,316500
3,1997,0,34300,49500,67700,95100,95100,124800,164000,340200
3,1998,0,36100,52100,71000,99300,99300,130700,172300,366700
3,1999,0,37000,53500,72900,102200,102200,134700,177500,389500
3,2000,0,37200,54300,74200,104300,104300,138300,183400,405800
3,2001,0,38100,55400,75300,105600,105600,137600,180000,372400
3,2002,0,38400,55100,74900,104600,104600,136500,176900,359800
3,2003,0,38800,56000,76200,107500,107500,140400,182800,371500
3,2004,0,39900,57400,78000,110400,110400,145000,189200,404800
3,2005,0,40600,58100,79400,112300,112300,149500,199200,447300
3,2006,0,41000,59200,81000,115400,115400,153900,205900,473900
3,2007,0,43000,61200,83500,118300,118300,157800,212000,493000
3,2008,0,43800,61800,83800,117600,117600,155300,204500,442700
3,2009,0,43700,61400,82900,116500,116500,152700,198200,392000
3,2010,0,44000,61800,83200,116500,116500,153600,200100,412700
3,2011,0,43500,60800,82300,116800,116800,155100,203400,422200
3,2012,0,43000,60700,82400,117400,117400,156900,207800,459100
3,2013,0,43500,60900,82800,117500,117500,157300,207800,437300
3,2014,0,44900,62400,84200,120000,120000,160100,213600,456900
3,2015,0,47300,65300,87700,124000,124000,165900,220300,474600
4,1979,0,33500,48100,63500,85800,85800,107600,133300,240700
4,1980,0,32500,46800,61900,83600,83600,105300,130200,236600
4,1981,0,32200,46600,62000,84000,84000,105500,131300,239300
4,1982,0,31700,46300,62300,86000,86000,109100,134700,250900
4,1983,0,30800,46000,63000,87600,87600,111900,140400,266300
4,1984,0,32500,48200,66200,92700,92700,119300,150400,287900
4,1985,0,32400,48400,66600,92800,92800,119600,151300,298200
4,1986,0,32800,49500,68300,96200,96200,124200,160300,343300
4,1987,0,32100,49700,69600,97200,97200,124500,156900,310600
4,1988,0,32900,50600,70400,98800,98800,127400,161500,331200
4,1989,0,33900,51200,71200,100100,100100,129300,165100,337900
4,1990,0,34800,51800,71400,99500,99500,128000,163800,326100
4,1991,0,35200,51600,71100,98300,98300,126800,160900,318200
4,1992,0,35500,52500,72000,99700,99700,129000,165200,332700
4,1993,0,36100,52900,72400,100800,100800,129700,165200,321200
4,1994,0,36700,53500,73300,101800,101800,131600,167900,323900
4,1995,0,38400,55500,75300,104600,104600,135400,174200,347000
4,1996,0,38600,55900,76800,106900,106900,139400,179900,365400
4,1997,0,39600,57200,78200,109900,109900,144100,189300,392800
4,1998,0,41700,60200,82000,114700,114700,150900,198900,423400
4,1999,0,42800,61700,84200,118000,118000,155500,204900,449700
4,2000,0,43000,62700,85700,120400,120400,159700,211800,468500
4,2001,0,44000,64000,86900,121900,121900,158900,207800,430000
4,2002,0,44400,63700,86500,120800,120800,157600,204300,415500
4,2003,0,44700,64700,87900,124100,124100,162200,211100,429000
4,2004,0,46000,66300,90100,127400,127400,167400,218400,467400
4,2005,0,46900,67100,91700,129700,129700,172600,230000,516500
4,2006,0,47300,68400,93500,133300,133300,177700,237700,547200
4,2007,0,49600,70700,96500,136500,136500,182200,244800,569300
4,2008,0,50600,71400,96700,135800,135800,179300,236100,511200
4,2009,0,50500,70900,95800,134600,134600,176400,228900,452700
4,2010,0,50900,71400,96100,134500,134500,177400,231100,476500
4,2011,0,50200,70200,95100,134900,134900,179100,234800,487500
4,2012,0,49700,70100,95200,135600,135600,181100,239900,530200
4,2013,0,50200,70300,95600,135700,135700,181700,240000,504900
4,2014,0,51800,72000,97200,138600,138600,184800,246700,527600
4,2015,0,54700,75400,101300,143200,143200,191500,254400,548100
