income_year,quintile,earned,govt_transfers,priv_transfers,ibt,taxes,iat,iat_pct_earned,tax_pct_ibt
2006,Second,31036,16784,989,48809,9885,38924,125.4,-25.42
2006,Middle,61701,9995,638,72334,19725,52609,85.3,14.74
2006,Fourth,99784,6531,318,106633,33889,72744,72.9,27.1
2006,Top,255003,5726,221,260950,97477,163473,64.1,35.89
2006,Average,90382,13926,688,104996,33002,71994,79.7,20.34
2007,Bottom,4701,30926,1242,36869,4005,32864,699.1,-599.09
2007,Second,32270,17683,962,50915,10715,40200,124.6,-24.57
2007,Middle,64116,10753,617,75486,20952,54534,85.1,14.94
2007,Fourth,103239,7123,306,110668,35201,75467,73.1,26.9
2007,Top,261651,6404,212,268267,101870,166397,63.6,36.4
2007,Average,93195,14578,668,108441,34549,73892,79.3,20.71
2008,Bottom,4319,35501,1405,41225,3470,37755,874.2,-774.16
2008,Second,30558,20335,1049,51942,9061,42881,140.3,-40.33
2008,Middle,61930,11961,669,74560,18705,55855,90.2,9.81
2008,Fourth,102113,7689,335,110137,33334,76803,75.2,24.79
2008,Top,241280,6219,236,247735,96815,150920,62.5,37.45
2008,Average,88040,16341,739,105120,32277,72843,82.7,17.26
2009,Bottom,3423,37163,1344,41930,3455,38475,1124.0,-1024.01
2009,Second,27673,22850,1015,51538,8286,43252,156.3,-56.3
2009,Middle,59716,14339,647,74702,17654,57048,95.5,4.47
2009,Fourth,99125,8854,322,108301,32183,76118,76.8,23.21
2009,Top,226271,6787,226,233284,89845,143439,63.4,36.61
2009,Average,83242,17999,711,101952,30285,71667,86.1,13.91
2010,Bottom,3031,39495,1356,43882,3446,40436,1334.1,-1234.08
2010,Second,27077,24647,1027,52751,8484,44267,163.5,-63.49
2010,Middle,58950,15349,660,74959,17549,57410,97.4,2.61
2010,Fourth,99355,9567,330,109252,31973,77279,77.8,22.22
2010,Top,234181,7243,232,241656,91715,149941,64.0,35.97
2010,Average,84519,19260,721,104500,30633,73867,87.4,12.6
2011,Bottom,3105,39642,1433,44180,3722,40458,1303.0,-1203.0
2011,Second,27338,24710,1054,53102,8721,44381,162.3,-62.34
2011,Middle,59736,15264,669,75669,18031,57638,96.5,3.51
2011,Fourth,100751,9382,334,110467,32155,78312,77.7,22.27
2011,Top,243353,7402,237,250992,92073,158919,65.3,34.7
2011,Average,86857,19280,745,106882,30940,75942,87.4,12.57
2012,Bottom,3141,38823,1469,43433,3705,39728,1264.8,-1164.82
2012,Second,27496,24482,1085,53063,8595,44468,161.7,-61.73
2012,Middle,61031,15173,691,76895,18209,58686,96.2,3.84
2012,Fourth,102941,9485,346,112772,33076,79696,77.4,22.58
2012,Top,260240,7875,245,268360,98555,169805,65.2,34.75
2012,Average,90970,19168,767,110905,32428,78477,86.3,13.73
2013,Bottom,3356,39374,1137,43867,3857,40010,1192.2,-1092.19
2013,Second,29220,24714,815,54749,9505,45244,154.8,-54.84
2013,Middle,62539,15281,543,78363,19842,58521,93.6,6.42
2013,Fourth,106357,9976,286,116619,35516,81103,76.3,23.74
2013,Top,258320,7916,210,266446,104013,162433,62.9,37.12
2013,Average,91958,19452,598,112008,34547,77461,84.2,15.76
2014,Bottom,3162,39791,1571,44524,3988,40536,1282.0,-1181.97
2014,Second,29259,24965,1056,55280,9702,45578,155.8,-55.77
2014,Middle,63819,16202,650,80671,20286,60385,94.6,5.38
2014,Fourth,108836,10700,327,119863,36187,83676,76.9,23.12
2014,Top,270977,8630,241,279848,109516,170332,62.9,37.14
2014,Average,95211,20058,769,116038,35936,80102,84.1,15.87
2015,Bottom,3641,40845,1662,46148,3853,42295,1161.6,-1061.63
2015,Second,30890,26249,1150,58289,10235,48054,155.6,-55.56
2015,Middle,67100,17238,717,85055,20885,64170,95.6,4.37
2015,Fourth,114020,11095,361,125476,37780,87696,76.9,23.09
2015,Top,281569,9171,263,291003,114054,176949,62.8,37.16
2015,Average,99444,20920,831,121195,37361,83834,84.3,15.7
2016,Bottom,3628,41794,1803,47225,4048,43177,1190.1,-1090.1
2016,Second,32806,26959,1205,60970,10547,50423,153.7,-53.7
2016,Middle,69191,17224,744,87159,21438,65721,95.0,5.02
2016,Fourth,116955,11637,376,128968,38139,90829,77.7,22.34
2016,Top,288727,9727,278,298732,113528,185204,64.1,35.85
2016,Average,102261,21468,881,124610,37540,87070,85.1,14.86
2017,Bottom,3680,42327,1813,47820,4050,43770,1189.4,-1089.4
2017,Second,34123,27486,1224,62833,10828,52005,152.4,-52.4
2017,Middle,71632,17897,751,90280,22059,68221,95.2,4.76
2017,Fourth,121180,12097,376,133653,38984,94669,78.1,21.88
2017,Top,307084,10020,276,317380,119056,198324,64.6,35.42
2017,Average,107540,21965,888,130393,38995,91398,85.0,15.01
2018,Bottom,3365,44050,1970,49385,4129,45256,1344.9,-1244.9
2018,Second,33375,28398,1280,63053,10930,52123,156.2,-56.17
2018,Middle,74689,18640,782,94111,21537,72574,97.2,2.83
2018,Fourth,125903,12346,396,138645,38272,100373,79.7,20.28
2018,Top,322338,10472,297,333107,118096,215011,66.7,33.3
2018,Average,111934,22781,945,135660,38593,97067,86.7,13.28
2019,Bottom,4069,45284,2417,51770,4632,47138,1158.5,-1058.47
2019,Second,37610,29240,1475,68325,11885,56440,150.1,-50.07
2019,Middle,80152,19388,899,100439,22946,77493,96.7,3.32
2019,Fourth,135202,13254,466,148922,40176,108746,80.4,19.57
2019,Top,341721,11468,360,353549,121417,232132,67.9,32.07
2019,Average,119751,23727,1123,144601,40211,104390,87.2,12.83
2020,Bottom,3211,53517,2229,58957,950,58007,1806.5,-1706.51
2020,Second,33066,42360,1438,76864,6777,70087,212.0,-111.96
2020,Middle,77553,29757,853,108163,17645,90518,116.7,-16.72
2020,Fourth,133081,21052,422,154555,35966,118589,89.1,10.89
2020,Top,352442,16131,314,368887,125386,243501,69.1,30.91
2020,Average,119871,32563,1051,153485,37345,116140,96.9,3.11
2021,Bottom,3311,63511,2025,68847,225,68622,2072.5,-1972.55
2021,Second,35605,45020,1315,81940,6647,75293,211.5,-111.47
2021,Middle,81506,30861,777,113144,18044,95100,116.7,-16.68
2021,Fourth,140475,21091,381,161947,37411,124536,88.7,11.35
2021,Top,404215,16824,282,421321,142758,278563,68.9,31.09
2021,Average,133022,35461,956,169439,41017,128422,96.5,3.46
2022,Bottom,3955,56174,2145,62274,5311,56963,1440.3,-1340.28
2022,Second,36797,38094,1399,76290,13467,62823,170.7,-70.73
2022,Middle,84682,26219,821,111722,25121,86601,102.3,-2.27
2022,Fourth,144097,17938,400,162435,44856,117579,81.6,18.4
2022,Top,378362,14461,295,393118,140174,252944,66.9,33.15
2022,Average,129579,30577,1012,161168,45786,115382,89.0,10.96
